product_name,brand_name,category_name,units_sold,total_revenue
"Trek Slash 8 27.5 - 2016",Trek,"Mountain Bikes",154,555558.6111
"Trek Conduit+ - 2016",Trek,"Electric Bikes",145,389248.7025
"Trek Fuel EX 8 29 - 2016",Trek,"Mountain Bikes",143,368472.7294
"Surly Straggler 650b - 2016",Surly,"Cyclocross Bicycles",151,226765.5510
"Trek Domane SLR 6 Disc - 2017",Trek,"Road Bikes",43,211584.6153
"Surly Straggler - 2016",Surly,"Cyclocross Bicycles",147,203507.6200
"Trek Remedy 29 Carbon Frameset - 2016",Trek,"Mountain Bikes",125,203380.8701
"Trek Powerfly 8 FS Plus - 2017",Trek,"Electric Bikes",41,188249.6235
"Trek Madone 9.2 - 2017",Trek,"Road Bikes",39,175899.6482
"Trek Silque SLR 8 Women's - 2017",Trek,"Road Bikes",29,174524.7315
